id,rank,zip,city,all_home_purchases,investor_purchases,share_of_sales,under25,from25to50,from50to75,from75to100,from100to200,from200plus
386,30,33461,"West Palm Beach, FL",632,77,12%,51,3,0,31,10,4
387,31,33426,"West Palm Beach, FL",596,72,12%,35,10,2,27,17,9
388,32,33445,"West Palm Beach, FL",856,103,12%,37,12,6,24,14,8
389,33,33446,"West Palm Beach, FL",1451,171,12%,27,19,19,15,12,9
390,34,33458,"West Palm Beach, FL",1134,133,12%,27,18,13,19,13,9
391,35,33436,"West Palm Beach, FL",992,112,11%,34,13,6,25,14,9
392,36,33433,"West Palm Beach, FL",1179,133,11%,29,17,9,20,15,10
393,37,33412,"West Palm Beach, FL",363,40,11%,25,21,15,18,12,10
394,38,33478,"West Palm Beach, FL",302,33,11%,24,24,15,16,11,10
395,39,33498,"West Palm Beach, FL",317,33,10%,26,24,15,14,11,10
396,40,33484,"West Palm Beach, FL",1145,113,10%,36,12,5,24,15,9
397,41,33463,"West Palm Beach, FL",944,92,10%,44,8,2,27,12,7
398,42,33428,"West Palm Beach, FL",750,71,9%,37,14,7,22,12,8
399,43,33415,"West Palm Beach, FL",824,77,9%,49,3,0,31,12,4
400,44,33437,"West Palm Beach, FL",1167,103,9%,26,21,7,20,15,11
401,45,33472,"West Palm Beach, FL",494,39,8%,25,22,9,18,15,11
402,46,33467,"West Palm Beach, FL",1484,105,7%,30,20,7,19,14,10
